0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
-0.5897;-0.5846;-0.6197;0.1657;-0.3413;-0.0104;-0.66;-0.4053;0.165;-0.9227;-0.2098;0.2215;0.0733;-0.8067;0.237;0.6998;0.3426;-0.1915;0.1463;0.0119;0.99;0.0138;-0.1051;-0.2819;-0.8781;0.978;0.3268;0.3654;-0.2164;-0.8018
0.6208;-0.6386;-0.641;-0.1768;0.9785;-0.007;-0.4168;0.0297;0.2016;-0.423;0.8267;0.2237;0.7083;0.728;0.0316;-0.2087;0.4833;-0.936;0.3248;-0.2868;-0.3949;-0.0295;-0.6985;0.2958;0.5744;-0.515;0.0173;-0.2227;-0.9372;0.4585
-0.7909;-0.3168;0.744;-0.0439;0.9012;0.7735;0.0203;0.5759;-0.5403;-0.6389;0.6693;0.5445;-0.7032;0.7521;0.2712;0.1976;0.9121;-0.3919;-0.4709;-0.8189;-0.0218;-0.7141;-0.1389;0.1392;0.8819;-0.2097;-0.1644;-0.8779;-0.6429;0.3731
-0.2132;0.4366;0.1108;0.0698;0.2242;-0.164;-0.1648;0.4196;0.3053;0.5187;0.6333;0.5497;0.8421;-0.4644;-0.2698;-0.7888;0.0313;-0.1024;0.6987;-0.2619;0.5455;-0.2304;-0.9712;0.1359;-0.8658;-0.4956;0.1818;0.509;0.9096;0.7168
0.8494;-0.3965;-0.3077;0.93;-0.5612;0.9141;-0.1356;-0.6354;0.1218;0.1758;-0.3318;-0.9637;-0.8596;0.2581;0.0197;-0.2194;0.5037;0.0015;0.6939;-0.5797;0.2184;-0.3553;0.3731;0.4847;0.8007;0.4689;-0.0999;-0.8614;0.7671;0.0628
-0.9451;-0.9818;0.4628;0.2317;0.5445;0.4878;-0.6946;0.4429;-0.4316;-0.5245;0.1907;-0.2655;-0.7724;0.8908;0.8576;0.6105;-0.0076;0.4249;0.8354;0.0488;0.7806;0.6097;0.4814;0.7469;0.5867;0.009;0.2807;0.7935;0.4937;0.107
-0.5595469578373637;-0.9764014370559335;-0.7210221694536398;-0.7737826782511634;-0.3601453313745428;-0.7597902354675746;-0.3645;-0.6463238521921464;0.6092939059533938;-0.7454813587700381;0.5849576120650808;-0.3940010152671737;-0.8771;-0.8450032811718077;-0.5803817025806809;0.25066802739824307;-0.0166;0.043701895612350855;-0.8725170842512601;-0.9374994075690053;-0.47955821248597175;0.3442553496670023;-0.9689017865239306;-0.5749000726711812;-0.6997416913361812;-0.6702335379934822;0.06802426373256955;0.8534388993995916;0.65152330261594;-0.3388838372629885
0.5202964845829718;0.17557576780433085;0.04204552168569867;-0.606979312058912;0.767686731313944;-0.5596317480748965;0.3365;-0.599683426044865;0.10849390595339344;0.6583228841927151;-0.5314064934183722;-0.9898052832483297;0.5906;-0.021326740263560743;-0.4772335965184162;0.6504990546519055;0.2077;0.9357540491433229;-0.2862170842512598;-0.49039940756900524;-0.38989560620789343;0.9733553496670023;0.9362936006319442;-0.9030000726711812;-0.9834372841110105;-0.5782335379934821;-0.6588352336555257;-0.49387124597374554;-0.08012310811758026;-0.3621510475075437
0.9765910380868733;0.10567572222322506;0.08684257151259121;-0.14459123586899494;-0.6071184517060656;0.5047584873926783;-0.1338;0.4862047188914552;-0.6352060940466061;-0.7626990415622055;0.4156592300101891;0.09279201238230249;0.5986;0.3894265018286272;0.345007649756218;-0.6790240483055047;-0.6707;-0.22516348948477194;-0.2967;0.46010059243099477;0.18068036512770416;-0.6279446503329977;-0.4707707887385789;0.4229;-0.6363879235574941;0.7420537104550583;-0.7596152457017264;0.6537475194958303;0.915187871184641;-0.09492620137173095
0.5369910380868733;0.6512757678043308;-0.6649063852611378;0.5972071194290658;0.5398765111874235;0.10106825192510382;-0.2271;-0.5221397471713782;0.33819390595339355;-0.8244990415622054;-0.20210649341837245;-0.2825052832483297;-0.9766;-0.11017677934318061;0.7923067438724904;-0.3253243286534556;-0.5139;0.37599774007790765;-0.009117084251259844;-0.5263994075690053;0.1726408413617534;-0.12434465033299771;0.7094837628619747;-0.3168000726711805;-0.6441655069127938;-0.15879283113600165;0.3265841715133746;0.23834879581445895;-0.6317617890231486;-0.3744663300914228
-0.39320896191312643;-0.6421242321956692;-0.9170063852611379;-0.36529288057093434;0.32347651118742216;0.5731682519251036;0.2313;0.6354602528286217;0.4674939059533935;-0.5770990415622055;0.0446935065816274;-0.029705283248329724;-0.4077;-0.5772767793431813;0.011706743872490662;-0.7518243286534554;-0.4785;-0.2388022599220924;0.2402829157487401;0.23660059243099474;0.7327408413617541;0.2473553496670023;0.6112837628619747;0.7087999273288188;0.7348344930872062;0.5105071688639983;-0.03861582848662586;0.518548795814459;-0.49026178902314854;0.5260336699085761
